inc_id,cre_dttm,restore_dttm,affected_cust
2005405564,2017-09-11 01:07:14,2017-09-11 21:28:34,1973
2005406096,2017-09-11 01:14:47,2017-09-15 12:50:10,680
2005404947,2017-09-11 01:23:27,2017-09-11 03:11:57,1205
2005404942,2017-09-11 01:27:51,2017-09-14 09:51:03,386
2005407952,2017-09-11 01:31:20,2017-09-16 09:02:00,789
2005403782,2017-09-11 02:02:15,2017-09-12 01:13:55,922
2005404854,2017-09-11 02:07:36,2017-09-15 12:48:28,2526
2005407517,2017-09-11 02:13:59,2017-09-12 10:36:56,2032
2005404753,2017-09-11 02:19:54,2017-09-11 04:31:09,2158
2005404186,2017-09-11 02:31:15,2018-04-23 13:49:45,655
2005404220,2017-09-11 02:32:32,2017-09-11 14:12:47,682
2005404391,2017-09-11 02:47:57,2017-09-11 17:08:59,2181
2005404523,2017-09-11 02:55:24,2017-09-11 20:13:08,2801
2005405136,2017-09-11 03:32:44,2017-09-13 08:29:53,0
2005428157,2017-09-11 03:35:02,2017-09-15 13:47:12,131
2005417895,2017-09-11 04:11:07,2017-09-12 14:11:53,1174
2005414329,2017-09-11 04:28:41,2017-09-15 14:57:16,48
2005405708,2017-09-11 05:36:09,2017-09-15 12:19:31,921
2005405775,2017-09-11 05:52:50,2017-09-11 12:56:08,1019
2005407151,2017-09-11 05:55:35,2017-09-15 09:20:41,556
2005406925,2017-09-11 06:04:07,2017-09-15 13:25:39,614
2005405840,2017-09-11 06:04:49,2017-09-11 11:02:17,2025
2005405829,2017-09-11 06:05:24,2017-09-12 20:08:13,2176
2005405874,2017-09-11 06:15:04,2017-09-18 11:11:19,2659
2005405893,2017-09-11 06:21:36,2017-09-12 12:56:21,130
2005405917,2017-09-11 06:26:29,2017-09-11 07:01:15,639
2005406043,2017-09-11 06:59:31,2017-09-11 17:06:18,3110
2005406078,2017-09-11 07:06:11,2017-09-15 09:19:24,533
2005406164,2017-09-11 07:15:51,2017-09-15 09:19:40,1470
2005410187,2017-09-11 07:22:18,2017-09-15 13:02:41,385
2005406245,2017-09-11 07:27:39,2017-09-11 10:44:57,2434
2005406255,2017-09-11 07:31:20,2017-09-15 08:49:27,386
2005406262,2017-09-11 07:31:29,2017-09-13 02:02:06,1859
2005406339,2017-09-11 07:39:14,2017-09-11 14:57:25,1945
2005406364,2017-09-11 07:43:30,2017-09-15 09:19:52,1134
2005406446,2017-09-11 07:51:00,2017-09-12 19:28:08,1229
2005406710,2017-09-11 08:13:03,2017-09-12 15:13:17,1032
2005406915,2017-09-11 08:24:44,2017-09-12 09:48:54,3385
2005407141,2017-09-11 09:07:03,2017-09-12 11:36:33,2559
2005407174,2017-09-11 09:10:40,2017-09-12 05:56:27,2375
2005407683,2017-09-11 10:17:50,2017-09-15 13:31:47,29
2005408090,2017-09-11 10:52:47,2017-09-13 09:16:44,307
2005417478,2017-09-11 11:06:39,2017-09-15 06:46:06,350
2005410050,2017-09-11 12:29:40,2017-09-11 13:07:44,5152
2005408890,2017-09-11 12:44:38,2017-09-15 08:55:53,55
2005408970,2017-09-11 12:56:37,2017-09-15 08:48:29,402
2005408989,2017-09-11 12:58:47,2017-09-15 09:49:20,96
2005409831,2017-09-11 14:32:42,2018-01-09 07:54:34,2
2005410561,2017-09-11 15:13:19,2017-09-11 15:32:54,5258
2005410200,2017-09-11 15:19:55,2017-09-14 17:46:48,10
2005410458,2017-09-11 15:36:03,2017-09-12 19:18:04,1443
2005410361,2017-09-11 15:38:47,2017-09-16 19:35:38,2
2005410542,2017-09-11 15:53:50,2017-09-15 08:48:12,325
2005412084,2017-09-11 17:34:40,2017-09-17 17:50:13,351
2005411738,2017-09-11 18:11:07,2017-09-15 13:05:28,76
2005411821,2017-09-11 18:20:00,2017-09-16 15:30:23,38
2005411987,2017-09-11 18:46:28,2017-09-15 08:57:38,489
2005412061,2017-09-11 18:48:15,2017-09-15 13:31:09,628
2005412679,2017-09-11 18:52:43,2017-09-15 19:21:32,91
2005412073,2017-09-11 18:56:01,2017-09-30 22:26:13,16
2005412665,2017-09-11 19:58:45,2017-09-14 08:44:32,6
2005412815,2017-09-11 20:15:49,2017-09-15 08:56:10,167
2005412862,2017-09-11 20:21:17,2017-09-14 10:35:15,2
2005415354,2017-09-11 20:41:08,2017-09-14 09:49:31,9
2005413056,2017-09-11 20:43:04,2017-09-12 16:14:34,153
2005414034,2017-09-11 20:44:54,2017-09-15 18:35:14,4
2005420004,2017-09-11 22:17:21,2017-09-15 09:52:45,119
2005414091,2017-09-11 23:41:48,2017-09-15 11:11:07,1322
2005414346,2017-09-12 01:09:45,2017-09-16 07:24:26,417
2005414411,2017-09-12 03:13:55,2017-09-15 16:03:59,489
2005414881,2017-09-12 06:52:28,2017-09-13 21:56:36,173
2005415047,2017-09-12 07:25:00,2017-09-15 13:08:06,28
2005415223,2017-09-12 07:48:05,2017-09-15 20:30:53,13
2005415472,2017-09-12 08:21:33,2017-09-15 11:04:12,501
2005415638,2017-09-12 08:42:12,2017-09-12 14:11:53,5
2005415680,2017-09-12 08:46:59,2017-09-14 18:31:09,5
2005416515,2017-09-12 10:39:03,2017-09-16 10:19:00,2
2005416830,2017-09-12 11:14:10,2017-09-12 11:15:49,4622
2005416952,2017-09-12 11:37:46,2017-09-14 11:30:00,5
2005416964,2017-09-12 11:39:48,2017-09-13 07:22:13,2
2005417090,2017-09-12 12:02:48,2017-09-17 07:20:06,3
2005417646,2017-09-12 13:18:08,2017-09-15 17:20:47,14
2005417715,2017-09-12 13:33:13,2017-09-15 14:55:17,18
2005421697,2017-09-12 14:18:45,2017-09-15 10:58:19,89
2005418126,2017-09-12 14:41:05,2017-09-12 16:41:14,2
2005418263,2017-09-12 15:09:06,2017-09-15 09:17:32,96
2005419216,2017-09-12 15:40:56,2017-09-14 10:10:22,156
2005418485,2017-09-12 15:44:00,2017-09-12 20:10:06,1596
2005420433,2017-09-12 16:13:10,2017-09-14 17:05:08,20
2005418640,2017-09-12 16:16:09,2017-10-11 12:59:22,2
2005409877,2017-09-12 16:16:18,2017-09-15 20:17:58,1211
2005418715,2017-09-12 16:26:01,2017-09-13 11:28:37,11
2005418818,2017-09-12 16:37:58,2017-11-02 16:58:15,8
2005418865,2017-09-12 16:46:29,2017-09-15 21:30:00,3
2005419744,2017-09-12 17:08:07,2017-09-16 14:45:59,7
